feature,importance,rank
shared_interests,0.3639059419741731,1
male_intelligence_alignment,0.34541185692814685,2
male_attractiveness_alignment,0.28710324841897455,3
intel_of_female,0.25903536688003553,4
mutual_attractiveness,0.2510490943658898,5
attr_of_female,0.2368524956809733,6
mutual_intelligence,0.23609599789352623,7
overall_female_rating,0.22665668140627063,8
female_attractiveness_alignment,0.17557338837154726,9
female_intelligence_alignment,0.16352496168167518,10
overall_male_rating,0.14582363292854045,11
attr_of_male,0.14027784874267402,12
male_pref_intel,0.11255629018367064,13
male_pref_attr,0.0979226342871345,14
intel_of_male,0.09205611688680898,15
female_pref_attr,0.07286755403798995,16
intelligence_gap_rating,0.06666596981495669,17
age_gap,0.06131846929151423,18
mutual_fun,0.05201801244440687,19
ambition_gap_rating,0.05028505456931986,20
fun_of_male,0.042075662090521,21
female_pref_intel,0.0420010308831726,22
overall_rating_gap,0.04022866242180273,23
attractiveness_gap_rating,0.03748435604839212,24
male_goes_out_sometimes,0.03224146699232797,25
same_race,0.029333032952606423,26
age_compatibility,0.027237159486959643,27
sinc_of_male,0.027085218566657923,28
fun_of_female,0.025897121718784465,29
amb_of_male,0.024183506680784575,30
mutual_sincerity,0.02236979110755859,31
lifestyle_compatibility,0.021931446448321693,32
lifestyle_gap,0.021931446448321693,33
female_goes_out_sometimes,0.017763122505833118,34
male_goes_out_often,0.017508917097762672,35
mutual_ambition,0.017003239382083674,36
female_self_attr,0.01674016990161696,37
fun_gap_rating,0.016534634641191405,38
same_field,0.014433197196402313,39
female_goes_out_often,0.013405157714606493,40
male_self_attr,0.012574949036137668,41
female_goes_out_rarely,0.006407822576790081,42
female_goes_out_very_often,0.005815550720212268,43
male_goes_out_code,0.005788242327804038,44
female_age,0.0030134053156173042,45
amb_of_female,0.0023346550837604063,46
sincerity_gap_rating,0.0022349701758889854,47
female_goes_out_code,0.002073017729003331,48
male_age,0.0018858883538858742,49
sinc_of_female,0.0012550786202447277,50
male_goes_out_very_often,0.000505423279306199,51
male_goes_out_rarely,0.00016663579904120543,52
