Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC,PR-AUC,Log Loss,Brier Score,Training Time (s)
Logistic Regression,0.657,0.3157,0.6633,0.4277,0.7173,0.3866,0.615,0.2137,0.3
SVM,0.8122,0.6082,0.0818,0.1437,0.7172,0.3865,0.4426,0.1402,1.92
Random Forest,0.6992,0.3353,0.5659,0.421,0.7083,0.3693,0.586,0.1998,2.76
XGBoost,0.8081,0.525,0.0872,0.1493,0.7019,0.3659,0.4519,0.143,2.99
LightGBM,0.6926,0.3257,0.5518,0.4095,0.6979,0.3621,0.5743,0.1958,1.0
Decision Tree,0.6051,0.2784,0.6521,0.3895,0.6592,0.3105,0.8562,0.23,0.7
KNN,0.8043,0.4308,0.0387,0.0708,0.6221,0.2883,0.7643,0.1539,4.05
